id,name,username,profilePicture,email,phone,address,birthdate,isActive
aefede46-0abc-445b-a310-fb60cad9af75,Ray Lemke,Ray_Lemke,https://avatars.githubusercontent.com/u/56292743,Nora.Ebert56@gmail.com,486-327-3984 x1546,"{'street': '23414 Watsica Ranch', 'city': 'New Antonia', 'state': 'Georgia', 'zip': '98425-8166', 'coordinates': {'lat': '4.4914', 'lon': '34.2438'}}",1930-01-22,False
928e543c-ef66-47ee-bc62-2e9cf611f1de,Shaun Stiedemann,Shaun92,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/80.jpg,Bernadette25@yahoo.com,1-773-236-4517 x155,"{'street': '385 Lang Plains', 'city': 'Abdulmouth', 'state': 'Rhode Island', 'zip': '47329-2360', 'coordinates': {'lat': '61.5345', 'lon': '67.5066'}}",1945-06-12,True
b51beb0f-2730-4151-925e-686ff837d350,Dedric O&#x27;Keefe,Dedric.OKeefe,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/8.jpg,Kiara33@yahoo.com,1-901-286-6270 x704,"{'street': '91307 S Main Street', 'city': 'Oshkosh', 'state': 'Ohio', 'zip': '04792-0352', 'coordinates': {'lat': '-84.4169', 'lon': '168.6995'}}",1916-02-05,True
54a0d473-4bc3-477b-a808-3d943bb81796,Cory Lynch,Cory_Lynch,https://avatars.githubusercontent.com/u/55582038,Westley17@yahoo.com,1-998-291-9173 x7077,"{'street': '6764 Aliya Fall', 'city': 'New Cali', 'state': 'South Carolina', 'zip': '14507-3670', 'coordinates': {'lat': '-24.1837', 'lon': '-135.9012'}}",1937-06-14,True
f7fed986-8407-4070-9d05-69459e7849fe,Lance Gleason,Lance.Gleason,https://avatars.githubusercontent.com/u/63687046,Austen.Kerluke47@gmail.com,401.813.7579,"{'street': '23405 Klein Unions', 'city': 'McClurestad', 'state': 'Kentucky', 'zip': '61590', 'coordinates': {'lat': '7.7686', 'lon': '124.2526'}}",1918-12-21,True
c0840891-3ae8-4b37-a138-312722c037cd,Kaci Champlin,Kaci_Champlin,https://avatars.githubusercontent.com/u/28232693,Mose_Gibson-Gottlieb42@hotmail.com,335.383.5243,"{'street': '9717 Omer Loop', 'city': 'Lefflerside', 'state': 'Indiana', 'zip': '47465-7328', 'coordinates': {'lat': '58.4773', 'lon': '-54.0353'}}",1938-10-17,False
3d260d89-be32-4a01-8da4-39fd517c9a8f,Leilani Bergnaum,Leilani.Bergnaum48,https://avatars.githubusercontent.com/u/95423751,Jedediah_Rohan@yahoo.com,(915) 946-1303,"{'street': '2178 Robin Overpass', 'city': 'Noemitown', 'state': 'Missouri', 'zip': '33384', 'coordinates': {'lat': '-10.7385', 'lon': '83.6149'}}",1944-12-09,False
4e0e151f-b506-43fa-9a06-03b0d0658138,Birdie Hackett,Birdie_Hackett,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/5.jpg,Trey_Satterfield@yahoo.com,(408) 828-1381 x8424,"{'street': '7539 DuBuque Row', 'city': 'Rosarioboro', 'state': 'Georgia', 'zip': '19489', 'coordinates': {'lat': '85.4859', 'lon': '139.2881'}}",1936-03-12,True
f23e3614-9563-42d2-b77c-3efb4f69caad,Ericka Metz,Ericka_Metz,https://avatars.githubusercontent.com/u/77484686,Jude.OHara51@yahoo.com,960.430.9024 x750,"{'street': '44563 Hammes Hills', 'city': 'New Casey', 'state': 'Michigan', 'zip': '64744', 'coordinates': {'lat': '56.4451', 'lon': '131.9842'}}",1923-11-28,False
b5cd6e83-2470-4de7-afbb-131e3c1b8ad1,Eino Douglas,Eino85,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/54.jpg,Adriana_Cole@gmail.com,1-222-695-4445 x488,"{'street': '341 Kozey Drive', 'city': 'Claireland', 'state': 'Maine', 'zip': '02629', 'coordinates': {'lat': '3.7356', 'lon': '-60.5725'}}",2017-04-15,True
